membership:3_PacBio_aggregated_set_id	3_PacBio_aggregated
BCM_Fam_BH14578	BCM_m84101_250429_200524_s1_A11...PacBio
BCM_Fam_BH14279	BCM_m84101_250501_135951_s3_A11...PacBio
BCM_Fam_BH15137	BCM_m84101_250502_235128_s3_A11...PacBio
BCM_Fam_BH15137	BCM_m84101_250503_015036_s4_A11...PacBio
BCM_Fam_BH15137	BCM_m84101_250503_034954_s1_A11...PacBio
BCM_Fam_BH15137	BCM_m84101_250503_054917_s2_A11...PacBio
BCM_Fam_BH14597	BCM_m84101_250504_094301_s3_A11...PacBio
BCM_Fam_BH14597	BCM_m84101_250504_114218_s4_A11...PacBio
BCM_Fam_BH15136	BCM_m84101_250504_134137_s1_A11...PacBio
BCM_Fam_BH15136	BCM_m84101_250504_154058_s2_A11...PacBio
BCM_Fam_BH14279	BCM_m84101_250510_213531_s3_A11...PacBio
BCM_Fam_BH14279	BCM_m84101_250510_233451_s4_A11...PacBio
BCM_Fam_BH14614	BCM_m84101_250512_202646_s2_A11...PacBio
BCM_Fam_BCM17823	BCM_m84101_250515_121133_s4_A11...PacBio
BCM_Fam_BH14551	BCM_m84101_250515_141053_s1_A11...PacBio
BCM_Fam_BH16471	BCM_m84101_250515_161002_s2_A11...PacBio
BCM_Fam_BH17192	BCM_m84101_250516_220313_s4_A11...PacBio
BCM_Fam_BH16471	BCM_m84101_250517_000227_s1_A11...PacBio
BCM_Fam_BH14579	BCM_m84101_250521_232151_s3_A11...PacBio
BCM_Fam_BH14579	BCM_m84101_250522_012104_s4_A11...PacBio
BCM_Fam_BH16890	BCM_m84113_240829_012224_s4_A11...PacBio
BCM_Fam_BH16890	BCM_m84113_240830_051636_s1_A11...PacBio
BCM_Fam_BH16890	BCM_m84113_240830_071543_s2_A11...PacBio
BCM_Fam_BH16729	BCM_m84113_240907_163757_s2_A11...PacBio
BCM_Fam_BH16729	BCM_m84113_240907_183707_s3_A11...PacBio
BCM_Fam_BH16729	BCM_m84113_240907_203616_s4_A11...PacBio
BCM_Fam_BCM17300	BCM_m84113_240911_043612_s2_A11...PacBio
BCM_Fam_BCM17300	BCM_m84113_240911_063531_s3_A11...PacBio
BCM_Fam_BCM17301	BCM_m84113_240911_083440_s4_A11...PacBio
BCM_Fam_BH16731	BCM_m84113_240912_191108_s1_A11...PacBio
BCM_Fam_BH16731	BCM_m84113_240912_211021_s2_A11...PacBio
BCM_Fam_BH16731	BCM_m84113_240912_230937_s3_A11...PacBio
BCM_Fam_BH16889	BCM_m84113_240913_010847_s4_A11...PacBio
BCM_Fam_BH16884	BCM_m84113_240919_192458_s1_A11...PacBio
BCM_Fam_BH16884	BCM_m84113_240919_212410_s2_A11...PacBio
BCM_Fam_BCM17301	BCM_m84113_240919_232316_s3_A11...PacBio
BCM_Fam_BH2557	BCM_m84113_240921_210411_s3_A11...PacBio
BCM_Fam_BCM17302	BCM_m84113_240923_142432_s1_A11...PacBio
BCM_Fam_BCM17302	BCM_m84113_240923_162348_s2_A11...PacBio
BCM_Fam_BCM17302	BCM_m84113_240923_182305_s3_A11...PacBio
BCM_Fam_BCM17303	BCM_m84113_240925_200040_s2_A11...PacBio
BCM_Fam_BCM17304	BCM_m84113_240925_215950_s3_A11...PacBio
BCM_Fam_BCM17304	BCM_m84113_240926_000006_s4_A11...PacBio
BCM_Fam_BCM17295	BCM_m84113_240927_150124_s1_A11...PacBio
BCM_Fam_BCM17290	BCM_m84113_240927_170044_s2_A11...PacBio
